sim_time_s,v_bus_v,soc_pct,i_batt_a,p_batt_w,p_load_w,p_source_w,source_at_limit,p_batt_ref_w,state_code,charge_headroom_w,p_load_nominal_w,voltage_error_v,llm_mode_code,llm_requested_power_w,llm_command_valid,llm_command_seq,llm_command_age_s
90.994,399.999999999999,15.0080397557366,0.0593750000000001,24.9999999912731,-499.999999999999,476.250000001925,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.995,399.999999999999,15.0080397049626,0.0593750000000001,24.9999999912732,-499.999999999999,476.250000001931,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.996,399.999999999999,15.0080396541885,0.0593750000000001,24.9999999912731,-499.999999999999,476.250000001937,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.997,399.999999999999,15.0080396034144,0.0593750000000002,24.9999999912732,-499.999999999999,476.250000001943,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.998,399.999999999999,15.0080395526404,0.0593750000000002,24.9999999912731,-499.999999999999,476.25000000195,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.999,399.999999999999,15.0080395018663,0.0593750000000002,24.9999999912732,-499.999999999999,476.250000001956,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91,399.999999999999,15.0080394510922,0.0593750000000002,24.9999999912732,-499.999999999998,476.250000001963,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.001,399.999999999999,15.0080394003182,0.0593750000000002,24.9999999912731,-499.999999999998,476.25000000197,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.002,399.999999999999,15.0080393495441,0.0593750000000002,24.9999999912732,-499.999999999998,476.250000001978,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.003,399.999999999998,15.0080392987703,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000001985,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.004,399.999999999998,15.0080392479965,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000001993,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.005,399.999999999998,15.0080391972227,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000002001,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.006,399.999999999998,15.0080391464489,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000002009,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.007,399.999999999998,15.0080390956751,0.0593750000000003,24.9999999912732,-499.999999999997,476.250000002018,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.008,399.999999999998,15.0080390449013,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002027,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.009,399.999999999998,15.0080389941275,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002036,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.01,399.999999999998,15.0080389433537,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002045,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.011,399.999999999997,15.0080388925799,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002054,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.012,400.000000000003,15.008038841806,0.0593749999999995,24.9999999912732,-500.000000000004,476.250000001823,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.013,400.000000000009,15.0080387910322,0.0593749999999987,24.9999999912732,-500.000000000011,476.250000001579,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.014,400.000000000009,15.0080387402584,0.0593749999999987,24.9999999912732,-500.000000000011,476.250000001566,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.015,400.000000000006,15.0080386894846,0.0593749999999991,24.9999999912732,-500.000000000008,476.250000001669,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
91.016,400.000000000003,15.0080386387108,0.0593749999999996,24.9999999912732,-500.000000000004,476.250000001777,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
